winner,winner,winner_number,overall_p1,overall_p2,tournament,surface,player2,player2_num,player1,player1_num,original_location,city,country,location,level,year,round,score,withdrawal,retirement,score,winner_set1,loser_set1,winner_set2,loser_set2,winner_set3,loser_set3,winner_set4,loser_set4,winner_set5,loser_set5,set1,set2,set3,set4,set5,winner_sets,loser_sets,winner_games,loser_games
"Berdych,‘_Tomas",Berdych,6,5,4,CRO vs. CZE WG SF,Clay,Cilic,8,Berdych,6,Croatia,Porec,Croatia,Europe,Olympics/DC,2009,RR,"6-3, 6-3, 3-6, 4-6, 6-3‘_",0,0,"6-3, 6-3, 3-6, 4-6, 6-3",6,3,6,3,3,6,4,6,6,3,3,3,-3,-2,3,3,2,25,21
"Federer,‘_Roger",Federer,2,12,6,CZE v. SUI WG PO,Carpet,Berdych,6,Federer,2,Czech Republic,Prague,Czech Republic,Europe,Olympics/DC,2007,RR,"7-6(5), 7-6(10), 6-3‘_",0,0,"7-6(5), 7-6(10), 6-3",7,6,7,6,6,3,0,0,0,0,1,1,3,0,0,3,0,20,15
"Berdych,‘_Tomas",Berdych,6,9,5,CZE v. SUI WG PO,Carpet,Berdych,6,Wawrinka,3,Czech Republic,Prague,Czech Republic,Europe,Olympics/DC,2007,RR,"7-6(2), 6-4, 7-5‘_",0,0,"7-6(2), 6-4, 7-5",7,6,6,4,7,5,0,0,0,0,1,2,2,0,0,3,0,20,15
"Djokovic,‘_Novak",Djokovic,1,17,19,ATP World Tour Masters 1000 Paris,Hard,Federer,2,Djokovic,1,France,Paris,France,Europe,Masters 1000,2013,S,"4-6, 6-3, 6-2‘_",0,0,"4-6, 6-3, 6-2",4,6,6,3,6,2,0,0,0,0,-2,3,4,0,0,2,1,16,11
"Djokovic,‘_Novak",Djokovic,1,17,19,Roland Garros,Clay,Federer,2,Djokovic,1,France,Paris,France,Europe,Grand Slam,2012,S,"6-4, 7-5, 6-3‘_",0,0,"6-4, 7-5, 6-3",6,4,7,5,6,3,0,0,0,0,2,2,3,0,0,3,0,19,12
"Federer,‘_Roger",Federer,2,17,19,Roland Garros,Clay,Federer,2,Djokovic,1,France,Paris,France,Europe,Grand Slam,2011,S,"7-6(5), 6-3, 3-6, 7-6(5)‘_",0,0,"7-6(5), 6-3, 3-6, 7-6(5)",7,6,6,3,3,6,7,6,0,0,1,3,-3,1,0,3,1,23,21
"Djokovic,‘_Novak",Djokovic,1,15,3,ATP Masters Series Rome,Clay,Wawrinka,3,Djokovic,1,Italy,Rome,France,Europe,Masters 1000,2008,F,"4-6, 6-3, 6-3‘_",0,0,"4-6, 6-3, 6-3",4,6,6,3,6,3,0,0,0,0,-2,3,3,0,0,2,1,16,12
"Djokovic,‘_Novak",Djokovic,1,15,3,ATP World Tour Masters 1000 Paris,Hard,Wawrinka,3,Djokovic,1,France,Paris,France,Europe,Masters 1000,2013,Q,"6-1, 6-4‘_",0,0,"6-1, 6-4",6,1,6,4,0,0,0,0,0,0,5,2,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,2,2,ATP World Tour Masters 1000 Paris,Hard,Nishikori,4,Djokovic,1,France,Paris,France,Europe,Masters 1000,2014,S,"6-2, 6-3‘_",0,0,"6-2, 6-3",6,2,6,3,0,0,0,0,0,0,4,3,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,2,2,Roland Garros,Clay,Nishikori,4,Djokovic,1,France,Paris,France,Europe,Grand Slam,2010,R64,"6-1, 6-4, 6-4‘_",0,0,"6-1, 6-4, 6-4",6,1,6,4,6,4,0,0,0,0,5,2,2,0,0,3,0,18,9
"Djokovic,‘_Novak",Djokovic,1,15,8,ATP World Tour Masters 1000 Paris,Hard,Murray,5,Djokovic,1,France,Paris,France,Europe,Masters 1000,2014,Q,"7-5, 6-2‘_",0,0,"7-5, 6-2",7,5,6,2,0,0,0,0,0,0,2,4,0,0,0,2,0,13,7
"Djokovic,‘_Novak",Djokovic,1,4,0,ATP World Tour Masters 1000 Paris,Hard,Raonic,7,Djokovic,1,France,Paris,France,Europe,Masters 1000,2014,F,"6-2, 6-3‘_",0,0,"6-2, 6-3",6,2,6,3,0,0,0,0,0,0,4,3,0,0,0,2,0,12,5
"Djokovic,‘_Novak",Djokovic,1,4,0,Roland Garros,Clay,Raonic,7,Djokovic,1,France,Paris,France,Europe,Grand Slam,2014,Q,"7-5, 7-6(5), 6-4‘_",0,0,"7-5, 7-6(5), 6-4",7,5,7,6,6,4,0,0,0,0,2,1,2,0,0,3,0,20,15
"Djokovic,‘_Novak",Djokovic,1,10,0,Roland Garros,Clay,Cilic,8,Djokovic,1,France,Paris,France,Europe,Grand Slam,2014,R32,"6-3, 6-2, 6-7(2), 6-4‘_",0,0,"6-3, 6-2, 6-7(2), 6-4",6,3,6,2,6,7,6,4,0,0,3,4,-1,2,0,3,1,24,16
"Federer,‘_Roger",Federer,2,14,2,Roland Garros,Clay,Wawrinka,3,Federer,2,France,Paris,France,Europe,Grand Slam,2011,R16,"6-3, 6-2, 7-5‘_",0,0,"6-3, 6-2, 7-5",6,3,6,2,7,5,0,0,0,0,3,4,2,0,0,3,0,19,10
"Federer,‘_Roger",Federer,2,14,2,Roland Garros,Clay,Wawrinka,3,Federer,2,France,Paris,France,Europe,Grand Slam,2010,R16,"6-3, 7-6(5), 6-2‘_",0,0,"6-3, 7-6(5), 6-2",6,3,7,6,6,2,0,0,0,0,3,1,4,0,0,3,0,19,11
"Federer,‘_Roger",Federer,2,12,6,ATP World Tour Masters 1000 Paris,Hard,Berdych,6,Federer,2,France,Paris,France,Europe,Masters 1000,2011,S,"6-4, 6-3‘_",0,0,"6-4, 6-3",6,4,6,3,0,0,0,0,0,0,2,3,0,0,0,2,0,12,7
"Federer,‘_Roger",Federer,2,12,6,Roland Garros,Clay,Berdych,6,Federer,2,France,Paris,France,Europe,Grand Slam,2006,R16,"6-3, 6-2, 6-3‘_",0,0,"6-3, 6-2, 6-3",6,3,6,2,6,3,0,0,0,0,3,4,3,0,0,3,0,18,8
"Raonic,‘_Milos",Raonic,7,6,1,ATP World Tour Masters 1000 Paris,Hard,Raonic,7,Federer,2,France,Paris,France,Europe,Masters 1000,2014,Q,"7-6(5), 7-5‘_",0,0,"7-6(5), 7-5",7,6,7,5,0,0,0,0,0,0,1,2,0,0,0,2,0,14,11
"Federer,‘_Roger",Federer,2,5,1,ATP Masters Series Paris,Hard,Cilic,8,Federer,2,France,Paris,France,Europe,Masters 1000,2008,R16,"6-3, 6-4‘_",0,0,"6-3, 6-4",6,3,6,4,0,0,0,0,0,0,3,2,0,0,0,2,0,12,7
