winner,winnerid,score,tournament,overall,surface,player2,player2id,player1,player1id,location,year,stage
Ana Ivanovic,8,6-2 3-6 7-5,LINZ,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"AUSTRIA, AUSTRIA",2008,S
Agnieszka Radwanska,7,6-1 3-6 6-4,ROME,7 - 3,CLAY,Ana Ivanovic,8,Agnieszka Radwanska,6,"ROME, ITALY",2009,R16
Agnieszka Radwanska,7,7-5 7-5,MIAMI,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"MIAMI, USA",2010,R32
Agnieszka Radwanska,8,7-6 (4) 6-4,STUTTGART,7 - 3,CLAY,Ana Ivanovic,8,Agnieszka Radwanska,6,"STUTTGART, GERMANY",2010,R32
Agnieszka Radwanska,8,6-3 3-2 RET,BEIJING,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"BEIJING, CHINA P.R.",2011,Q
Agnieszka Radwanska,7,6-2 6-4,AUSTRALIAN OPEN,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"Melbourne, AUSTRALIA",2013,R16
Agnieszka Radwanska,7,6-1 7-6 (6),DOHA,7 - 3,HARD,Ana Ivanovic,8,Agnieszka Radwanska,6,"Doha, QATAR",2013,R16
Agnieszka Radwanska,7,6-2 6-4,FRENCH OPEN,7 - 3,CLAY,Ana Ivanovic,8,Agnieszka Radwanska,6,"Paris, FRANCE",2013,R16
Agnieszka Radwanska,7,6-4 6-1,STOCKHOLM,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"STOCKHOLM, SWEDEN",2007,Q
Caroline Wozniacki,7,6-4 6-1,STOCKHOLM,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"STOCKHOLM, SWEDEN",2008,S
Caroline Wozniacki,6,6-2 6-3,INDIAN WELLS,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"INDIAN WELLS, USA",2010,S
Caroline Wozniacki,7,5-0 RET,TOKYO - PAN PACIFIC,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"TOKYO, JAPAN",2010,Q
Caroline Wozniacki,6,7-5 6-3,STUTTGART,4 - 6,CLAY,Caroline Wozniacki,7,Agnieszka Radwanska,6,"STUTTGART, GERMANY",2011,S
Caroline Wozniacki,6,5-7 6-2 6-4,WTA CHAMPIONSHIPS,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"Istanbul, TURKEY",2011,R1
Agnieszka Radwanska,6,3-6 7-5 6-2,SYDNEY,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"Sydney, AUSTRALIA",2012,Q
Agnieszka Radwanska,6,6-4 6-3,TOKYO,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"TOKYO, JAPAN",2012,Q
Agnieszka Radwanska,6,6-2 7-5,DOHA,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"Doha, QATAR",2013,Q
Caroline Wozniacki,6,6-4 7-6 (5),CINCINNATI,4 - 6,HARD,Caroline Wozniacki,7,Agnieszka Radwanska,6,"Cincinnati, USA",2014,Q
Ana Ivanovic,6,6-1 7-6 (2),AUSTRALIAN OPEN,5 - 2,HARD,Caroline Wozniacki,7,Ana Ivanovic,7,"MELBOURNE, AUSTRALIA",2008,R16
